,i,name,SMILES
239,239,C7H15(679) <=> C7H15(682),CC[CH]CCCC_C[CH]CCCCC
240,240,C7H16(1) + C7H15(679) <=> C7H16(1) + C7H15(682),CCCCCCC+CC[CH]CCCC_CCCCCCC+C[CH]CCCCC
241,241,C7H15(679) + O2(2) <=> S(816),CC[CH]CCCC+[O][O]_CCCCC(CC)O[O]
242,242,C3H7O2(95) <=> S(114),CCCO[O]_[CH2]CCOO
243,243,S(114) => C2H4(11) + CH2O(9) + OH(15),[CH2]CCOO_C=C+C=O+[OH]
244,244,S(444) <=> S(454) + OH(15),C[CH]CCCOO_CC1CCCO1+[OH]
245,245,S(454) + OH(15) => C3H6(12) + H2O(8) + CH2CHO(21),CC1CCCO1+[OH]_C=CC+O+[CH2]C=O
246,246,S(454) + HO2(16) => C3H6(12) + H2O2(17) + CH2CHO(21),CC1CCCO1+[O]O_C=CC+OO+[CH2]C=O
247,247,C7H15(680) + H(14) <=> C7H16(1),CCC[CH]CCC+[H]_CCCCCCC
248,248,C7H15(680) + HO2(16) <=> C7H16(1) + O2(2),CCC[CH]CCC+[O]O_CCCCCCC+[O][O]
249,249,C7H16(1) + O(5) <=> C7H15(680) + OH(15),CCCCCCC+[O]_CCC[CH]CCC+[OH]
250,250,C7H16(1) + OH(15) <=> C7H15(680) + H2O(8),CCCCCCC+[OH]_CCC[CH]CCC+O
251,251,C7H15(680) + H2O2(17) <=> C7H16(1) + HO2(16),CCC[CH]CCC+OO_CCCCCCC+[O]O
252,252,C7H15(680) + C2H5(43) <=> C2H4(11) + C7H16(1),CCC[CH]CCC+C[CH2]_C=C+CCCCCCC
253,253,C7H16(1) + H(14) <=> C7H15(680) + H2(13),CCCCCCC+[H]_CCC[CH]CCC+[H][H]
254,254,C7H16(1) + CH3(18) <=> CH4(10) + C7H15(680),CCCCCCC+[CH3]_C+CCC[CH]CCC
255,255,C7H15(680) + NC3H7(92) <=> C3H6(12) + C7H16(1),CCC[CH]CCC+[CH2]CC_C=CC+CCCCCCC
256,256,C7H15(680) <=> C7H15(682),CCC[CH]CCC_C[CH]CCCCC
257,257,C7H16(1) + C7H15(680) <=> C7H16(1) + C7H15(682),CCCCCCC+CCC[CH]CCC_CCCCCCC+C[CH]CCCCC
258,258,C7H15(680) <=> C7H15(679),CCC[CH]CCC_CC[CH]CCCC
259,259,C7H16(1) + C7H15(680) <=> C7H16(1) + C7H15(679),CCCCCCC+CCC[CH]CCC_CCCCCCC+CC[CH]CCCC
260,260,C7H15(680) + O2(2) <=> S(858),CCC[CH]CCC+[O][O]_CCCC(CCC)O[O]
